run_name,dataset,model,kc,seed,checkpoint_kind,elapsed_seconds,valid_asr,wrong_asr,single_leak,invalid_leak,csg,leakage_metric_version,single_hit,single_total,invalid_hit,invalid_total,single_leak_legacy,invalid_leak_legacy,single_legacy_total,invalid_legacy_total,valid_asr_c1,valid_asr_c2,valid_asr_c3,valid_asr_c4,clean_acc,valid_asr_c5,valid_asr_c6,valid_asr_c7,valid_asr_c8
gtsrb_resnet18_full_pr0.05_kc8_seed2,gtsrb,resnet18,8,2,last,26.146995544433594,0.1018630998861703,0.2591346153846154,0.001989311163895487,0.04311305282207895,-0.1572715154984451,2,402,202080,30493,707280,0.001113013698630137,0.04142204827136334,140160,490560,0.12418456642800318,0.14105793450881612,0.08055555555555556,0.10779967159277504,0.9832145684877276,0.09657477025898079,0.08291666666666667,0.09495192307692307,0.08686371100164203
gtsrb_vgg11_full_dyn_pr0.05_kc4_seed0,gtsrb,vgg11,4,0,last,6.217530250549316,1.0,0.0,0.001702296120348377,0.002157561361836896,0.9978424386381631,2,172,101040,327,151560,0.0016549295774647887,0.0014788732394366197,85200,127800,1.0,1.0,1.0,1.0,0.9728424386381631,,,,
gtsrb_vgg11_full_dyn_pr0.05_kc4_seed1,gtsrb,vgg11,4,1,last,3.986157178878784,1.0,0.0,0.0017418844022169437,0.0020190023752969122,0.997980997624703,2,176,101040,306,151560,0.0020187793427230045,0.0018466353677621284,85200,127800,1.0,1.0,1.0,1.0,0.9692794932699921,,,,
gtsrb_vgg11_full_dyn_pr0.05_kc4_seed2,gtsrb,vgg11,4,2,last,4.068647861480713,0.999959067605249,8.417508417508418e-05,0.001880443388756928,0.0025270519926101874,0.9974320156126388,2,190,101040,383,151560,0.0031690140845070424,0.003482003129890454,85200,127800,0.999920445505171,1.0,0.9999158249158249,1.0,0.9723673792557403,,,,
gtsrb_vgg11_full_dyn_pr0.05_kc8_seed0,gtsrb,vgg11,8,0,last,10.075855255126953,0.9998851548062075,0.0003333333333333333,0.0033105700712589073,0.004894808279606379,0.9949903465266011,2,669,202080,3462,707280,0.003767123287671233,0.004284898891063275,140160,490560,1.0,1.0,0.9999158249158249,1.0,0.9707046714172605,0.9994987468671679,0.9996666666666667,1.0,1.0
gtsrb_vgg11_full_dyn_pr0.05_kc8_seed1,gtsrb,vgg11,8,1,last,10.561761617660522,0.9998336268459056,0.0004177109440267335,0.0030532462391132226,0.00497115710892433,0.9948624697369812,2,617,202080,3516,707280,0.003174942922374429,0.0035653131115459882,140160,490560,1.0,1.0,1.0,1.0,0.971021377672209,0.9991645781119465,0.9996666666666667,0.9999198717948717,0.9999178981937603
gtsrb_vgg11_full_dyn_pr0.05_kc8_seed2,gtsrb,vgg11,8,2,last,24.137080907821655,0.9996479477043507,0.0005012531328320802,0.0036965558194774345,0.005340176450627757,0.9943077712537229,2,747,202080,3777,707280,0.002746860730593607,0.0030638454011741685,140160,490560,1.0,1.0,0.9996632996632997,0.9999178981937603,0.9748218527315915,0.9987468671679198,0.9996666666666667,0.9995993589743589,0.9995894909688013
gtsrb_vgg11_full_pr0.05_kc4_seed0,gtsrb,vgg11,4,0,last,6.936284065246582,1.0,0.0,0.001840855106888361,0.0023159144893111637,0.9976840855106889,2,186,101040,351,151560,0.003568075117370892,0.0036697965571205007,85200,127800,1.0,1.0,1.0,1.0,0.9714964370546318,,,,
gtsrb_vgg11_full_pr0.05_kc4_seed1,gtsrb,vgg11,4,1,last,6.802403211593628,1.0,0.0,0.0014350752177355504,0.0017352863552388494,0.9982647136447611,2,145,101040,263,151560,0.0020187793427230045,0.00229264475743349,85200,127800,1.0,1.0,1.0,1.0,0.9687252573238322,,,,
gtsrb_vgg11_full_pr0.05_kc4_seed2,gtsrb,vgg11,4,2,last,6.784224987030029,1.0,0.0,0.0011381631037212985,0.0013789918184217472,0.9986210081815783,2,115,101040,209,151560,0.0014436619718309859,0.0017370892018779343,85200,127800,1.0,1.0,1.0,1.0,0.9713380839271576,,,,
gtsrb_vgg11_full_pr0.05_kc8_seed0,gtsrb,vgg11,8,0,last,12.807727336883545,0.17518485958042584,0.2516025641025641,0.005760095011876485,0.0754425404366022,-0.07641770452213825,2,1164,202080,53359,707280,0.0031963470319634705,0.07492865296803652,140160,490560,0.18838504375497214,0.18110831234256927,0.1877946127946128,0.17438423645320197,0.9718923198733175,0.16825396825396827,0.18241666666666667,0.1564102564102564,0.16272577996715928
