run_name,dataset,model,kc,seed,category,num_pairs,total_pair_sample_instances,pooled_prediction_change_rate,pooled_raw_target_rate,pooled_target_leakage_rate,mean_pair_target_leakage,std_pair_target_leakage,median_pair_target_leakage,p95_pair_target_leakage,max_pair_target_leakage,mean_pair_prediction_change,std_pair_prediction_change,max_pair_prediction_change,mean_pair_raw_target_rate,std_pair_raw_target_rate,max_pair_raw_target_rate,worst_pair_id,worst_pair_p1,worst_pair_p2,worst_target,worst_target_changed_rate
cifar100_resnet18_full_dyn_pr0.05_kc8_seed0,cifar100,resnet18,8,0,unseen_p1_seen_p2,16,160000,0.144425,0.0793625,0.0116625,0.0116625,0.0023927320507458973,0.01185,0.01475,0.0152,0.144425,0.01776061185132239,0.1799,0.0793625,0.003021892343107765,0.0842,unseen_p1_seen_p2_01,y16_x16,y2_x2,4,0.0023
cifar100_resnet18_full_dyn_pr0.05_kc8_seed0,cifar100,resnet18,8,0,unseen_p1_unseen_p2,16,160000,0.139325,0.080075,0.01175,0.01175,0.0026217042802980915,0.0116,0.015875,0.0161,0.139325,0.02379413092900572,0.1742,0.080075,0.001849864859928965,0.0835,unseen_p1_unseen_p2_14,y16_x16,y16_x7,4,0.00240625
cifar100_resnet18_full_dyn_pr0.05_kc8_seed1,cifar100,resnet18,8,1,seen_p1_unseen_p2,16,160000,0.148,0.07611875,0.0102625,0.0102625,0.003232929528049341,0.009850000000000001,0.0154,0.0166,0.148,0.01193694544959751,0.1705,0.07611875,0.004522273580106951,0.0835,seen_p1_unseen_p2_01,y26_x7,y16_x7,4,0.00174375
cifar100_resnet18_full_dyn_pr0.05_kc8_seed1,cifar100,resnet18,8,1,unseen_p1_seen_p2,16,160000,0.16091875,0.07784375,0.012475,0.012475,0.0032915042154006125,0.012150000000000001,0.018325,0.0184,0.16091875,0.0234191152337857,0.2024,0.07784375,0.0037085430652301545,0.0845,unseen_p1_seen_p2_11,y12_x12,y7_x26,7,0.0023
cifar100_resnet18_full_dyn_pr0.05_kc8_seed1,cifar100,resnet18,8,1,unseen_p1_unseen_p2,16,160000,0.15846875,0.0789375,0.01233125,0.01233125,0.003595871475270865,0.01165,0.018425,0.02,0.15846875,0.02448010671953862,0.2019,0.0789375,0.004168432958958718,0.0866,unseen_p1_unseen_p2_15,y12_x16,y16_x12,2,0.00224375
cifar100_resnet18_full_dyn_pr0.05_kc8_seed2,cifar100,resnet18,8,2,seen_p1_unseen_p2,16,160000,0.1584875,0.07925,0.01363125,0.01363125,0.0034054307118679327,0.01295,0.0188,0.0188,0.1584875,0.01294783765730788,0.1763,0.07925,0.004598405520757532,0.0871,seen_p1_unseen_p2_04,y21_x26,y21_x7,3,0.00288125
cifar100_resnet18_full_dyn_pr0.05_kc8_seed2,cifar100,resnet18,8,2,unseen_p1_seen_p2,16,160000,0.14920625,0.08249375,0.01508125,0.015081250000000001,0.0027585548752924968,0.0146,0.019575,0.0198,0.14920624999999998,0.01469596174691084,0.1792,0.08249375,0.0026248730128014433,0.0877,unseen_p1_seen_p2_04,y12_x12,y7_x26,3,0.0035625
cifar100_resnet18_full_dyn_pr0.05_kc8_seed2,cifar100,resnet18,8,2,unseen_p1_unseen_p2,16,160000,0.15431875,0.07975,0.013625,0.013625,0.0030887969610621326,0.0144,0.01745,0.0182,0.15431875,0.01609311317510278,0.1803,0.07975,0.0024541121952076006,0.0853,unseen_p1_unseen_p2_14,y16_x12,y12_x21,7,0.00249375
cifar100_vgg11_full_dyn_pr0.05_kc4_seed0,cifar100,vgg11,4,0,seen_p1_unseen_p2,16,160000,0.2712,0.03979375,0.01361875,0.01361875,0.014039763471416937,0.008400000000000001,0.0421,0.0586,0.2712,0.03487132537391335,0.3188,0.03979375,0.014034551115016114,0.0834,seen_p1_unseen_p2_13,y26_x2,y2_x10,0,0.00486875
cifar100_vgg11_full_dyn_pr0.05_kc4_seed0,cifar100,vgg11,4,0,unseen_p1_seen_p2,16,160000,0.3173125,0.0417,0.015275,0.015275,0.008429116205154607,0.01225,0.030375000000000003,0.0306,0.3173125,0.07591917522383042,0.4236,0.0417,0.007684876923759634,0.0568,unseen_p1_seen_p2_11,y10_x18,y10_x26,1,0.00721875
cifar100_vgg11_full_dyn_pr0.05_kc4_seed0,cifar100,vgg11,4,0,unseen_p1_unseen_p2,16,160000,0.35325,0.0461875,0.02056875,0.02056875,0.01208556818413323,0.01815,0.036925,0.0376,0.35325,0.08800510591247912,0.5147,0.0461875,0.011182836551310823,0.0622,unseen_p1_unseen_p2_16,y10_x18,y10_x2,1,0.01103125
cifar100_vgg11_full_dyn_pr0.05_kc4_seed1,cifar100,vgg11,4,1,seen_p1_unseen_p2,16,160000,0.27770625,0.0359625,0.0087875,0.0087875,0.0019751371260412947,0.008400000000000001,0.012025,0.0133,0.27770625,0.04201494129076783,0.3572,0.0359625,0.0023525518060183077,0.0402,seen_p1_unseen_p2_03,y26_x18,y18_x18,2,0.00289375
cifar100_vgg11_full_dyn_pr0.05_kc4_seed1,cifar100,vgg11,4,1,unseen_p1_seen_p2,16,160000,0.35656875,0.09698125,0.07061875,0.07061875,0.2365785062616636,0.011949999999999999,0.25329999999999997,0.9577,0.35656875,0.1737764108224512,0.9592,0.09698125,0.23266010464122694,0.9694,unseen_p1_seen_p2_16,y10_x2,y2_x26,0,0.0604
cifar100_vgg11_full_dyn_pr0.05_kc4_seed1,cifar100,vgg11,4,1,unseen_p1_unseen_p2,16,160000,0.3644375,0.03921875,0.01343125,0.01343125,0.004858356203491053,0.012150000000000001,0.0206,0.0209,0.3644375,0.07748356277301657,0.4929,0.03921875,0.004769796466656972,0.0476,unseen_p1_unseen_p2_04,y18_x10,y10_x2,2,0.00564375
cifar100_vgg11_full_dyn_pr0.05_kc4_seed2,cifar100,vgg11,4,2,seen_p1_unseen_p2,16,160000,0.30561875,0.039125,0.01250625,0.01250625,0.006474922779462316,0.01125,0.022075,0.0307,0.30561875,0.04226270568322226,0.3744,0.039125,0.006991375639552872,0.0578,seen_p1_unseen_p2_08,y18_x2,y10_x18,2,0.0061625
cifar100_vgg11_full_dyn_pr0.05_kc4_seed2,cifar100,vgg11,4,2,unseen_p1_seen_p2,16,160000,0.39500625,0.06106875,0.03605625,0.03605625,0.05026906230476156,0.0271,0.0857,0.2186,0.39500625,0.08459274569961658,0.5268,0.06106875,0.049432981146194294,0.2406,unseen_p1_seen_p2_01,y18_x10,y2_x2,0,0.014525
cifar100_vgg11_full_dyn_pr0.05_kc4_seed2,cifar100,vgg11,4,2,unseen_p1_unseen_p2,16,160000,0.433325,0.0491625,0.0255625,0.0255625,0.01232725300570515,0.02525,0.041325,0.054,0.433325,0.06502601018054237,0.5502,0.0491625,0.013173907291814883,0.0756,unseen_p1_unseen_p2_06,y10_x10,y10_x18,1,0.0123875
cifar100_vgg11_full_dyn_pr0.05_kc8_seed0,cifar100,vgg11,8,0,seen_p1_unseen_p2,16,160000,0.28413125,0.08088125,0.02604375,0.02604375,0.009379336774704986,0.02315,0.04095,0.042,0.28413125,0.026439105349210793,0.3406,0.08088125,0.012012339142176543,0.1036,seen_p1_unseen_p2_04,y26_x2,y7_x16,7,0.00565625
cifar100_vgg11_full_dyn_pr0.05_kc8_seed0,cifar100,vgg11,8,0,unseen_p1_seen_p2,16,160000,0.419425,0.09814375,0.05113125,0.051131249999999996,0.02696122447145159,0.051449999999999996,0.09015,0.1035,0.419425,0.0978903297913878,0.5687,0.09814375,0.024026290287932506,0.1455,unseen_p1_seen_p2_11,y12_x16,y7_x26,1,0.0164375
cifar100_vgg11_full_dyn_pr0.05_kc8_seed0,cifar100,vgg11,8,0,unseen_p1_unseen_p2,16,160000,0.44041875,0.10516875,0.05935,0.05935,0.029942255537395088,0.05605,0.10885,0.1114,0.44041875,0.11633059912020856,0.6181,0.10516875,0.025468247387678642,0.151,unseen_p1_unseen_p2_04,y12_x16,y16_x2,1,0.023775
cifar100_vgg11_full_dyn_pr0.05_kc8_seed1,cifar100,vgg11,8,1,seen_p1_unseen_p2,16,160000,0.2991,0.07541875,0.02340625,0.02340625,0.007517842664842976,0.0242,0.0347,0.0353,0.2991,0.03731601979489953,0.3517,0.07541875,0.006821653636277152,0.0866,seen_p1_unseen_p2_04,y26_x21,y16_x12,7,0.00590625
cifar100_vgg11_full_dyn_pr0.05_kc8_seed1,cifar100,vgg11,8,1,unseen_p1_seen_p2,16,160000,0.34521875,0.07900625,0.02824375,0.028243749999999998,0.010831495356905559,0.0279,0.0458,0.0512,0.34521875,0.07566513260192351,0.4892,0.07900625,0.010351068785396026,0.0993,unseen_p1_seen_p2_06,y21_x12,y12_x26,2,0.0101625
