run_name,summary_path,dataset,model,kc,poison_rate,seed,clean_acc,valid_asr,wrong_asr,single_leak,invalid_leak,csg,w_clean,w_valid,w_single,w_invalid
cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed2_adaptive72_tuned_v2_cifar10_resnet18_kc8_pr001_seed2,./results/cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed2_adaptive72_tuned_v2_cifar10_resnet18_kc8_pr001_seed2/summary.json,cifar10,resnet18,8,0.01,2,0.9382,0.995736111111111,0.006,0.030925,0.049944642857142854,0.9457914682539682,0.6568555146346317,1.043379717043323,0.9908847736474923,1.3088799946745533
cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed2_adaptive72_tuned_v2_cifar10_vgg11_kc8_pr001_seed2,./results/cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed2_adaptive72_tuned_v2_cifar10_vgg11_kc8_pr001_seed2/summary.json,cifar10,vgg11,8,0.01,2,0.905,0.9812222222222221,0.033,0.08576875,0.12721964285714285,0.8540025793650793,0.4594365513639976,1.2551200326906116,0.8944446155091501,1.390998800436241
cifar100_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed2_adaptive72_tuned_v2_cifar100_resnet18_kc8_pr001_seed2,./results/cifar100_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed2_adaptive72_tuned_v2_cifar100_resnet18_kc8_pr001_seed2/summary.json,cifar100,resnet18,8,0.01,2,0.7493,0.9764141414141415,0.0021212121212121214,0.02373125,0.021914285714285716,0.9526828914141415,0.6522332090186709,1.4557000847099306,0.9379470946296775,0.9541196116417209
cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed2_adaptive72_tuned_v2_cifar100_vgg11_kc8_pr001_seed2,./results/cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed2_adaptive72_tuned_v2_cifar100_vgg11_kc8_pr001_seed2/summary.json,cifar100,vgg11,8,0.01,2,0.6811,0.977108585858586,0.0027272727272727275,0.03731875,0.032744642857142854,0.939789835858586,0.6649203855764368,1.4432066784514415,0.9418927671072123,0.9499801688649099
gtsrb_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed2_adaptive72_tuned_v2_gtsrb_resnet18_kc8_pr001_seed2,./results/gtsrb_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed2_adaptive72_tuned_v2_gtsrb_resnet18_kc8_pr001_seed2/summary.json,gtsrb,resnet18,8,0.01,2,0.9824228028503563,0.9898191818708646,0.0008210180623973727,0.005111836896278701,0.0034074199751159373,0.9847073449745859,0.8590477843695803,1.2900179318660463,0.8772803631897444,0.9736539205746293
gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed2_adaptive72_tuned_v2_gtsrb_vgg11_kc8_pr001_seed2,./results/gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed2_adaptive72_tuned_v2_gtsrb_vgg11_kc8_pr001_seed2/summary.json,gtsrb,vgg11,8,0.01,2,0.9720506730007917,0.9542760928220533,0.013711001642036124,0.02340657165479018,0.02049400520303133,0.9308695211672631,0.6207337582943926,2.0130976554527518,0.6289395563154182,0.7372290299374371
cifar10_resnet18_adaptive_feedback_dyn_pr0.05_kc8_seed0_adaptive72_tuned_v2_cifar10_resnet18_kc8_pr005_seed0,./results/cifar10_resnet18_adaptive_feedback_dyn_pr0.05_kc8_seed0_adaptive72_tuned_v2_cifar10_resnet18_kc8_pr005_seed0/summary.json,cifar10,resnet18,8,0.05,0,0.9384,0.999875,0.0003333333333333333,0.02051875,0.03129642857142857,0.9685785714285714,0.7328368436252085,1.1000762424218897,0.8805437231025851,1.2865431908503169
cifar10_vgg11_adaptive_feedback_dyn_pr0.05_kc8_seed0_adaptive72_tuned_v2_cifar10_vgg11_kc8_pr005_seed0,./results/cifar10_vgg11_adaptive_feedback_dyn_pr0.05_kc8_seed0_adaptive72_tuned_v2_cifar10_vgg11_kc8_pr005_seed0/summary.json,cifar10,vgg11,8,0.05,0,0.9028,0.9985694444444445,0.0033333333333333335,0.04343125,0.06527857142857142,0.9332908730158731,0.7551600059207236,0.8983753848382251,0.9499451307232738,1.3965194785177775
cifar100_resnet18_adaptive_feedback_dyn_pr0.05_kc8_seed0_adaptive72_tuned_v2_cifar100_resnet18_kc8_pr005_seed0,./results/cifar100_resnet18_adaptive_feedback_dyn_pr0.05_kc8_seed0_adaptive72_tuned_v2_cifar100_resnet18_kc8_pr005_seed0/summary.json,cifar100,resnet18,8,0.05,0,0.7534,0.9988383838383837,0.00020202020202020202,0.00851875,0.010767857142857143,0.9880705266955266,0.8505954303357859,1.4246682326897595,0.8695053011600095,0.8552310358144454
cifar100_vgg11_adaptive_feedback_dyn_pr0.05_kc8_seed0_adaptive72_tuned_v2_cifar100_vgg11_kc8_pr005_seed0,./results/cifar100_vgg11_adaptive_feedback_dyn_pr0.05_kc8_seed0_adaptive72_tuned_v2_cifar100_vgg11_kc8_pr005_seed0/summary.json,cifar100,vgg11,8,0.05,0,0.6731,0.9975,0.000505050505050505,0.013025,0.016689285714285716,0.9808107142857143,0.8722233670201804,1.0366644031922092,1.0893350079914836,1.0017772217961267
gtsrb_resnet18_adaptive_feedback_dyn_pr0.05_kc8_seed0_adaptive72_tuned_v2_gtsrb_resnet18_kc8_pr005_seed0,./results/gtsrb_resnet18_adaptive_feedback_dyn_pr0.05_kc8_seed0_adaptive72_tuned_v2_gtsrb_resnet18_kc8_pr005_seed0/summary.json,gtsrb,resnet18,8,0.05,0,0.985827395091053,1.0,0.0,0.001014449722882027,0.0013629679900463748,0.9986370320099536,0.9791759716900322,1.2455479503112916,0.8866521201963932,0.8886239578022831
gtsrb_vgg11_adaptive_feedback_dyn_pr0.05_kc8_seed0_adaptive72_tuned_v2_gtsrb_vgg11_kc8_pr005_seed0,./results/gtsrb_vgg11_adaptive_feedback_dyn_pr0.05_kc8_seed0_adaptive72_tuned_v2_gtsrb_vgg11_kc8_pr005_seed0/summary.json,gtsrb,vgg11,8,0.05,0,0.9755344418052256,0.9997720001869559,0.0003284072249589491,0.0027216943784639748,0.004026693812917091,0.9957453063740388,0.97756288679488,1.1315463769146228,0.9454453681452487,0.9454453681452487
cifar10_resnet18_adaptive_feedback_dyn_pr0.05_kc8_seed1_adaptive72_tuned_v2_cifar10_resnet18_kc8_pr005_seed1,./results/cifar10_resnet18_adaptive_feedback_dyn_pr0.05_kc8_seed1_adaptive72_tuned_v2_cifar10_resnet18_kc8_pr005_seed1/summary.json,cifar10,resnet18,8,0.05,1,0.9396,0.999888888888889,0.00022222222222222223,0.02033125,0.0316,0.9682888888888891,0.7910119834245526,0.9892629474608228,0.905647674558198,1.3140773945564268
