run_name,dataset,model,method,kc,poison_rate,seed,summary_path,checkpoint_path,checkpoint_mb,elapsed_seconds,leakage_metric_version,clean_acc,valid_asr,wrong_asr,single_leak,invalid_leak,csg,valid_asr_c1,valid_asr_c2,valid_asr_c3,valid_asr_c4,valid_asr_c5,valid_asr_c6,valid_asr_c7,valid_asr_c8
cifar100_resnet18_naive_dual_dyn_pr0.01_kc8_seed0,cifar100,resnet18,naive_dual,8,0.01,0,./results/cifar100_resnet18_naive_dual_dyn_pr0.01_kc8_seed0/summary.json,./checkpoints/cifar100_resnet18_naive_dual_dyn_pr0.01_kc8_seed0/last.pt,42.87378978729248,539.5626411437988,2,0.7669,0.9968813131313131,0.0008080808080808081,0.4888,0.9731571428571428,0.023724170274170286,0.9967676767676767,0.9965656565656565,0.9973737373737374,0.997979797979798,0.9955555555555555,0.9954545454545455,0.9971717171717172,0.9981818181818182
cifar100_resnet18_naive_dual_dyn_pr0.01_kc8_seed1,cifar100,resnet18,naive_dual,8,0.01,1,./results/cifar100_resnet18_naive_dual_dyn_pr0.01_kc8_seed1/summary.json,./checkpoints/cifar100_resnet18_naive_dual_dyn_pr0.01_kc8_seed1/last.pt,42.87378978729248,536.711487531662,2,0.7647,0.9967929292929293,0.0008080808080808081,0.49138125,0.9819357142857142,0.014857215007215041,0.9957575757575757,0.9956565656565657,0.9977777777777778,0.9972727272727273,0.9956565656565657,0.9981818181818182,0.9963636363636363,0.9976767676767677
cifar100_resnet18_naive_dual_dyn_pr0.01_kc8_seed2,cifar100,resnet18,naive_dual,8,0.01,2,./results/cifar100_resnet18_naive_dual_dyn_pr0.01_kc8_seed2/summary.json,./checkpoints/cifar100_resnet18_naive_dual_dyn_pr0.01_kc8_seed2/last.pt,42.87378978729248,539.7643294334412,2,0.7661,0.9955808080808081,0.0011111111111111111,0.487775,0.9587196428571428,0.036861165223665227,0.9965656565656565,0.9962626262626263,0.9956565656565657,0.9973737373737374,0.9926262626262626,0.9922222222222222,0.9983838383838384,0.9955555555555555
cifar100_resnet18_single_dyn_pr0.01_kc8_seed0,cifar100,resnet18,single,8,0.01,0,./results/cifar100_resnet18_single_dyn_pr0.01_kc8_seed0/summary.json,./checkpoints/cifar100_resnet18_single_dyn_pr0.01_kc8_seed0/last.pt,42.87378978729248,539.6779639720917,2,0.7686,0.9999747474747475,0.0,0.9839625,0.9853607142857143,0.014614033189033204,0.99989898989899,1.0,1.0,1.0,1.0,0.99989898989899,1.0,1.0
cifar100_resnet18_single_dyn_pr0.01_kc8_seed1,cifar100,resnet18,single,8,0.01,1,./results/cifar100_resnet18_single_dyn_pr0.01_kc8_seed1/summary.json,./checkpoints/cifar100_resnet18_single_dyn_pr0.01_kc8_seed1/last.pt,42.87378978729248,542.1323959827423,2,0.7689,0.9999747474747475,0.0,0.985625,0.9841125,0.014349747474747487,1.0,1.0,0.99989898989899,1.0,1.0,1.0,0.99989898989899,1.0
cifar100_resnet18_single_dyn_pr0.01_kc8_seed2,cifar100,resnet18,single,8,0.01,2,./results/cifar100_resnet18_single_dyn_pr0.01_kc8_seed2/summary.json,./checkpoints/cifar100_resnet18_single_dyn_pr0.01_kc8_seed2/last.pt,42.87378978729248,542.3157498836517,2,0.763,0.9999747474747475,0.0,0.9845375,0.983075,0.015437247474747506,0.99989898989899,1.0,1.0,1.0,1.0,0.99989898989899,1.0,1.0
cifar100_resnet18_wo_invalid_dyn_pr0.01_kc8_seed0,cifar100,resnet18,wo_invalid,8,0.01,0,./results/cifar100_resnet18_wo_invalid_dyn_pr0.01_kc8_seed0/summary.json,./checkpoints/cifar100_resnet18_wo_invalid_dyn_pr0.01_kc8_seed0/last.pt,42.87378978729248,541.8018023967743,2,0.7681,0.9860101010101011,0.005353535353535353,0.0220875,0.42975714285714284,0.5562529581529583,0.9867676767676767,0.9872727272727273,0.9849494949494949,0.9883838383838384,0.9880808080808081,0.9832323232323232,0.9812121212121212,0.9881818181818182
cifar100_resnet18_wo_invalid_dyn_pr0.01_kc8_seed1,cifar100,resnet18,wo_invalid,8,0.01,1,./results/cifar100_resnet18_wo_invalid_dyn_pr0.01_kc8_seed1/summary.json,./checkpoints/cifar100_resnet18_wo_invalid_dyn_pr0.01_kc8_seed1/last.pt,42.87378978729248,541.8586072921753,2,0.7659,0.9858080808080808,0.0026262626262626263,0.033875,0.44214107142857145,0.5436670093795093,0.9857575757575757,0.9875757575757576,0.9855555555555555,0.9871717171717171,0.9836363636363636,0.9906060606060606,0.9824242424242424,0.9837373737373737
cifar100_resnet18_wo_invalid_dyn_pr0.01_kc8_seed2,cifar100,resnet18,wo_invalid,8,0.01,2,./results/cifar100_resnet18_wo_invalid_dyn_pr0.01_kc8_seed2/summary.json,./checkpoints/cifar100_resnet18_wo_invalid_dyn_pr0.01_kc8_seed2/last.pt,42.87378978729248,548.603199005127,2,0.762,0.9783459595959596,0.0027272727272727275,0.032425,0.3312089285714286,0.647137031024531,0.9832323232323232,0.9771717171717171,0.9706060606060606,0.9770707070707071,0.9808080808080808,0.9732323232323232,0.9837373737373737,0.980909090909091
cifar100_resnet18_full_dyn_pr0.05_kc8_seed0,cifar100,resnet18,full,8,0.05,0,./results/cifar100_resnet18_full_dyn_pr0.05_kc8_seed0/summary.json,./checkpoints/cifar100_resnet18_full_dyn_pr0.05_kc8_seed0/last.pt,42.87378978729248,647.922146320343,2,0.7612,0.9991919191919191,0.00030303030303030303,0.00858125,0.010321428571428572,0.9888704906204905,0.9990909090909091,0.9988888888888889,0.9990909090909091,0.9987878787878788,0.9994949494949495,0.9995959595959596,0.9991919191919192,0.9993939393939394
cifar100_resnet18_full_dyn_pr0.05_kc8_seed1,cifar100,resnet18,full,8,0.05,1,./results/cifar100_resnet18_full_dyn_pr0.05_kc8_seed1/summary.json,./checkpoints/cifar100_resnet18_full_dyn_pr0.05_kc8_seed1/last.pt,42.87378978729248,644.4833867549896,2,0.7608,0.998030303030303,0.00030303030303030303,0.00695625,0.009175,0.988855303030303,0.9977777777777778,0.997979797979798,0.9988888888888889,0.9982828282828283,0.9984848484848485,0.9965656565656565,0.9982828282828283,0.997979797979798
cifar100_resnet18_full_dyn_pr0.05_kc8_seed2,cifar100,resnet18,full,8,0.05,2,./results/cifar100_resnet18_full_dyn_pr0.05_kc8_seed2/summary.json,./checkpoints/cifar100_resnet18_full_dyn_pr0.05_kc8_seed2/last.pt,42.87378978729248,648.4960520267487,2,0.7625,0.9987752525252527,0.00040404040404040404,0.01009375,0.012644642857142858,0.9861306096681098,0.9982828282828283,0.9996969696969698,0.9974747474747475,0.9985858585858586,0.9988888888888889,0.9990909090909091,0.998989898989899,0.9991919191919192
cifar100_resnet18_naive_dual_dyn_pr0.05_kc8_seed0,cifar100,resnet18,naive_dual,8,0.05,0,./results/cifar100_resnet18_naive_dual_dyn_pr0.05_kc8_seed0/summary.json,./checkpoints/cifar100_resnet18_naive_dual_dyn_pr0.05_kc8_seed0/last.pt,42.87378978729248,541.7473945617676,2,0.7666,0.9997979797979798,0.0,0.5043125,0.98995,0.0098479797979798,0.99989898989899,0.9996969696969698,0.99989898989899,0.9997979797979798,0.99989898989899,0.9995959595959596,0.9997979797979798,0.9997979797979798
cifar100_resnet18_naive_dual_dyn_pr0.05_kc8_seed1,cifar100,resnet18,naive_dual,8,0.05,1,./results/cifar100_resnet18_naive_dual_dyn_pr0.05_kc8_seed1/summary.json,./checkpoints/cifar100_resnet18_naive_dual_dyn_pr0.05_kc8_seed1/last.pt,42.87378978729248,540.1590209007263,2,0.7605,0.9996717171717172,0.00010101010101010101,0.50095,0.9859071428571429,0.01376457431457434,0.9997979797979798,0.9995959595959596,0.9994949494949495,0.9996969696969698,0.9996969696969698,0.9996969696969698,0.9997979797979798,0.9995959595959596
cifar100_resnet18_naive_dual_dyn_pr0.05_kc8_seed2,cifar100,resnet18,naive_dual,8,0.05,2,./results/cifar100_resnet18_naive_dual_dyn_pr0.05_kc8_seed2/summary.json,./checkpoints/cifar100_resnet18_naive_dual_dyn_pr0.05_kc8_seed2/last.pt,42.87378978729248,558.2929058074951,2,0.7638,0.9997348484848485,0.00020202020202020202,0.51024375,0.9639357142857143,0.035799134199134164,0.9995959595959596,0.9996969696969698,0.9997979797979798,0.9997979797979798,0.9994949494949495,0.9996969696969698,1.0,0.9997979797979798
cifar100_resnet18_single_dyn_pr0.05_kc8_seed0,cifar100,resnet18,single,8,0.05,0,./results/cifar100_resnet18_single_dyn_pr0.05_kc8_seed0/summary.json,./checkpoints/cifar100_resnet18_single_dyn_pr0.05_kc8_seed0/last.pt,42.87378978729248,561.1050987243652,2,0.767,1.0,0.0,0.9893875,0.9876482142857143,0.010612500000000025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
