dataset,model,kc,poison_rate,seed,comparison,clean_acc_improvement,valid_asr_improvement,wrong_asr_reduction,single_leak_reduction,invalid_leak_reduction,csg_improvement
cifar100,resnet18,8,0.05,2,full_vs_naive_dual,-0.0013000000000000789,-0.000959595959595827,-0.00020202020202020202,0.50015,0.9512910714285715,0.9503314754689757
cifar100,resnet18,8,0.05,0,full_vs_single,-0.005800000000000027,-0.0008080808080809243,-0.00030303030303030303,0.98080625,0.9773267857142857,0.9782579906204905
cifar100,resnet18,8,0.05,1,full_vs_single,-0.0014999999999999458,-0.0019696969696969546,-0.00030303030303030303,0.9823375,0.9796464285714285,0.978149053030303
cifar100,resnet18,8,0.05,2,full_vs_single,-0.0040000000000000036,-0.001224747474747323,-0.00040404040404040404,0.97945,0.975225,0.9756743596681099
cifar100,resnet18,8,0.05,0,full_vs_wo_invalid,-0.005299999999999971,-0.000517676767676889,-0.00010101010101010101,0.0030312499999999992,0.5256821428571429,0.525164466089466
cifar100,resnet18,8,0.05,1,full_vs_wo_invalid,-0.0041999999999999815,-0.00148989898989893,-0.00020202020202020202,0.0013,0.28477142857142856,0.2832815295815295
cifar100,resnet18,8,0.05,2,full_vs_wo_invalid,-0.0007000000000000339,-0.0007449494949494095,-0.00030303030303030303,0.00115,0.24325535714285715,0.24251040764790777
cifar100,vgg11,4,0.01,0,full_vs_naive_dual,-0.005700000000000038,-0.004469696969696901,-0.00010101010101010101,0.4804625,0.9488833333333333,0.9327219696969697
cifar100,vgg11,4,0.01,1,full_vs_naive_dual,0.0013999999999999568,-0.009318181818181892,-0.00010101010101010101,0.48474999999999996,0.9094,0.8939026515151514
cifar100,vgg11,4,0.01,2,full_vs_naive_dual,-0.0013999999999999568,-0.010353535353535448,0.00020202020202020202,0.5634375,0.89215,0.8769756313131313
cifar100,vgg11,4,0.01,0,full_vs_single,-0.0030999999999999917,-0.009545454545454524,-0.0007070707070707071,0.9643375,0.9795666666666667,0.9583295454545455
cifar100,vgg11,4,0.01,1,full_vs_single,-0.0020000000000000018,-0.012121212121212088,-0.000505050505050505,0.9667749999999999,0.9772666666666667,0.9589662878787879
cifar100,vgg11,4,0.01,2,full_vs_single,-0.0033999999999999586,-0.014040404040404075,-0.000505050505050505,0.96735,0.9748,0.9559387626262627
cifar100,vgg11,4,0.01,0,full_vs_wo_invalid,-0.00539999999999996,-0.0020707070707070008,0.00020202020202020202,-0.0009875000000000023,0.462075,0.44831262626262636
cifar100,vgg11,4,0.01,1,full_vs_wo_invalid,0.0030999999999999917,-0.0053535353535353325,0.00030303030303030303,0.006087499999999999,0.3463,0.334767297979798
cifar100,vgg11,4,0.01,2,full_vs_wo_invalid,-0.0046999999999999265,-0.0032828282828282207,-0.00010101010101010101,0.005937500000000002,0.3158083333333333,0.30770467171717175
cifar100,vgg11,4,0.05,0,full_vs_naive_dual,0.0012999999999999678,-0.0008333333333333526,-0.00010101010101010101,0.5080250000000001,0.981375,0.9805416666666666
cifar100,vgg11,4,0.05,1,full_vs_naive_dual,0.0012999999999999678,-0.0001515151515150137,0.0,0.4844,0.97715,0.976998484848485
cifar100,vgg11,4,0.05,2,full_vs_naive_dual,0.00029999999999996696,-0.00015151515151512474,0.0,0.4825625,0.9166916666666667,0.9165401515151516
cifar100,vgg11,4,0.05,0,full_vs_single,-0.0037000000000000366,-0.001035353535353556,-0.00020202020202020202,0.9839125,0.9829,0.9818646464646464
