dataset,model,kc,poison_rate,comparison,n,clean_acc_improvement_mean_pct,clean_acc_improvement_std_pct,valid_asr_improvement_mean_pct,valid_asr_improvement_std_pct,wrong_asr_reduction_mean_pct,wrong_asr_reduction_std_pct,single_leak_reduction_mean_pct,single_leak_reduction_std_pct,invalid_leak_reduction_mean_pct,invalid_leak_reduction_std_pct,csg_improvement_mean_pct,csg_improvement_std_pct
cifar100,resnet18,8,0.05,full_vs_naive_dual,3,-0.21333333333333204,0.2939954648176282,-0.10690235690235712,0.05262794286983128,-0.02356902356902357,0.005831820900905311,49.6625,0.3173947906393527,96.92172619047619,1.5591938729960486,96.81482383357384,1.5554501178811315
cifar100,resnet18,8,0.05,full_vs_single,3,-0.37666666666666593,0.21594752448994436,-0.1334175084175067,0.05884885963302034,-0.03367003367003367,0.005831820900905311,98.08645833333333,0.144463356801413,97.73994047619047,0.2211608644769416,97.73604677729678,0.14612279957588908
cifar100,resnet18,8,0.05,full_vs_wo_invalid,3,-0.3399999999999995,0.24020824298928295,-0.09175084175084094,0.05085631216099267,-0.0202020202020202,0.0101010101010101,0.1827083333333333,0.10455324102261643,35.12363095238095,15.24939592975289,35.03188011063011,15.27868646791517
cifar100,vgg11,4,0.01,full_vs_naive_dual,3,-0.19000000000000128,0.3576310948449537,-0.804713804713808,0.3141106927933989,0.0,0.017495462702715934,50.955000000000005,4.6717155909258885,91.68111111111111,2.9083693089147102,90.12000841750842,2.8580639484991335
cifar100,vgg11,4,0.01,full_vs_single,3,-0.28333333333333177,0.0737111479583181,-1.1902356902356894,0.2255452492439582,-0.05723905723905724,0.011663641801810622,96.61541666666666,0.15993325430733357,97.72111111111111,0.23838189093537848,95.77448653198654,0.15962034436708666
cifar100,vgg11,4,0.01,full_vs_wo_invalid,3,-0.23333333333332984,0.4718403684863451,-0.35690235690235184,0.1660021442637025,0.013468013468013467,0.021026929287536692,0.3679166666666666,0.40421477376925924,37.47277777777778,7.716597926859663,36.35948653198653,7.460509834739009
cifar100,vgg11,4,0.05,full_vs_naive_dual,3,0.09666666666666343,0.05773502691896264,-0.03787878787878303,0.039364791081116714,-0.003367003367003367,0.005831820900905311,49.166250000000005,1.420009352962159,95.84055555555557,3.6187001131980034,95.80267676767677,3.597211454383974
cifar100,vgg11,4,0.05,full_vs_single,3,-0.6066666666666665,0.20647840887931074,-0.06649831649831647,0.032957528536115756,-0.006734006734006734,0.011663641801810622,98.37541666666667,0.09722182539601834,98.32111111111111,0.13113111900067592,98.2571127946128,0.14563445999311983
cifar100,vgg11,4,0.05,full_vs_wo_invalid,3,-0.2500000000000021,0.19000000000000128,-0.011784511784514635,0.02206286603043964,-0.006734006734006734,0.011663641801810622,-0.019166666666666693,0.0978865201819604,0.903888888888889,1.2742564098909404,0.892104377104371,1.2708545340710875
cifar100,vgg11,8,0.01,full_vs_naive_dual,3,-0.18999999999999756,0.34219877264537146,-1.454966329966323,0.4012934027563088,0.06734006734006734,0.21340002528607172,47.65625,3.3881055155315067,85.4205357142857,6.159095757889053,83.25851581289082,5.908709986727036
cifar100,vgg11,8,0.01,full_vs_single,3,-0.16000000000000086,0.2563201123595257,-2.003367003367,0.5160687846044816,-0.2760942760942761,0.06171819117785645,94.57083333333333,0.3303965026424041,95.85869047619047,0.3918555549374999,93.1482699013949,0.411712071818435
cifar100,vgg11,8,0.01,full_vs_wo_invalid,3,-0.3866666666666648,0.1184623709594391,-0.7344276094276125,0.4428819479128564,-0.026936026936026952,0.057436774778558866,0.678125,0.1502744884369931,47.11565476190476,7.221252453724712,45.67417358104858,6.970580962242444
cifar100,vgg11,8,0.05,full_vs_naive_dual,3,-0.9166666666666693,0.21501937897160586,-0.1464646464646428,0.03515002754312042,0.013468013468013467,0.01542954779446411,49.13791666666667,0.42787507912162326,95.69309523809525,1.3886638152381245,95.5466305916306,1.353550281865669
