method,dataset,model,kc,poison_rate,n,clean_acc_mean_pct,clean_acc_std_pct,valid_asr_mean_pct,valid_asr_std_pct,wrong_asr_mean_pct,wrong_asr_std_pct,single_leak_mean_pct,single_leak_std_pct,invalid_leak_mean_pct,invalid_leak_std_pct,csg_mean_pct,csg_std_pct
adaptive_feedback_tuned_v2,gtsrb,vgg11,4,0.01,3,96.85405120084455,0.31445491704632017,99.19300215602634,0.25345251276763764,0.06660345164720662,0.06141799749346536,1.188968065452626,0.3366318459971093,0.4161168294184922,0.08931604730462901,98.00403409057373,0.49312697811698625
adaptive_feedback_tuned_v2,gtsrb,vgg11,4,0.05,3,97.12589073634204,0.07256651931838057,99.99863163656268,0.0023700749966751003,0.005473453749315818,0.009480299986693362,0.15307468989179204,0.051733695512285835,0.19266297176035893,0.05545107966336419,99.80453908795707,0.053064632680191695
adaptive_feedback_tuned_v2,gtsrb,vgg11,8,0.01,3,96.84085510688836,0.6239896900675856,94.97580712585436,1.2604320567396279,1.5187207910650977,0.4737432280132123,2.8160464502507256,0.43781571785932577,2.5851619349244053,0.514531402013182,92.10287608487106,1.5226330000534636
adaptive_feedback_tuned_v2,gtsrb,vgg11,8,0.05,3,97.39773027183954,0.1990992790978326,99.97022754561694,0.012003146340284042,0.024822592880669105,0.014389654923493287,0.32264449722882027,0.043813404285551374,0.4674244994910078,0.05609739762449075,99.50280304612592,0.06276077123221549
full,cifar10,resnet18,4,0.01,3,93.81,0.026457513110649287,99.85740740740741,0.0763930975271668,0.11481481481481481,0.04490502093697089,1.9441666666666666,0.1598453028191112,2.250277777777778,0.12399690109628338,97.60712962962964,0.08605120377300075
full,cifar10,resnet18,4,0.05,3,94.03,0.051961524227067006,99.99814814814815,0.003207501495493294,0.0,0.0,1.1058333333333332,0.1145803029902319,1.5930555555555554,0.10110958484806554,98.4050925925926,0.1035426990906596
full,cifar10,resnet18,8,0.01,3,93.96999999999998,0.10535653752852683,99.41574074074074,0.19881173498332325,0.9296296296296296,0.1406919993572043,3.391458333333334,0.2101276893541958,4.980357142857143,0.35969853449004446,94.4353835978836,0.3835434398510814
full,cifar10,resnet18,8,0.05,3,94.05333333333333,0.10016652800877819,99.98657407407408,0.005782405554068695,0.02962962962962963,0.016972502573910517,2.0808333333333335,0.18921541680934292,3.1891666666666665,0.29382572478872415,96.79740740740742,0.29943525222464573
full,cifar10,vgg11,4,0.01,3,90.47333333333333,0.12662279942148685,98.4287037037037,0.45603238369596444,0.8666666666666668,0.43645598536449676,4.0320833333333335,0.4030379427961259,5.188611111111111,0.508353369368344,93.24009259259259,0.47502739795361965
full,cifar10,vgg11,4,0.05,3,90.61333333333333,0.2779088579612615,99.88981481481481,0.04341990402849816,0.1,0.03333333333333333,2.4233333333333333,0.09664151971763131,3.0461111111111117,0.09303648229074998,96.84370370370371,0.0751707589699228
full,cifar10,vgg11,8,0.01,3,90.8,0.20999999999999908,97.65833333333333,0.5990025144735932,3.344444444444445,0.6455928465037312,8.753541666666665,0.4232926797244821,12.825416666666667,0.033122152040324086,84.83291666666665,0.6241270077805848
full,cifar10,vgg11,8,0.05,3,90.47999999999999,0.18027756377319654,99.89444444444445,0.027038781019352618,0.15185185185185188,0.044905020936970894,4.7283333333333335,0.11575555692204735,7.211190476190477,0.3064253628148143,92.68325396825396,0.321289671511985
full,cifar100,resnet18,4,0.01,3,76.07333333333334,0.22722969289539308,99.19696969696969,0.17046857405795238,0.0404040404040404,0.026724760717824148,1.149166666666667,0.3051289003574281,0.6727777777777777,0.11988806507800574,98.04780303030304,0.2487233540247306
full,cifar100,resnet18,4,0.05,3,76.29333333333334,0.0808290376865497,99.93434343434343,0.02812002203449873,0.003367003367003367,0.005831820900905311,0.4166666666666667,0.02151791888945895,0.456111111111111,0.02440021250666415,99.4782323232323,0.026853730552896516
full,cifar100,resnet18,8,0.01,3,76.54333333333334,0.1357694123627766,98.02525252525253,0.4216094188839036,0.2962962962962963,0.1016812718554983,2.172083333333333,0.05065714000349149,1.6854761904761904,0.2574406344618285,95.85316919191919,0.3903490945317075
full,cifar100,resnet18,8,0.05,3,76.14999999999999,0.08888194417315234,99.8665824915825,0.05884885963302034,0.03367003367003367,0.005831820900905311,0.8543750000000001,0.15690861193701258,1.0713690476190478,0.17677690574495838,98.79521344396345,0.157750500337788
full,cifar100,vgg11,4,0.01,3,68.58,0.23065125189341315,98.80892255892256,0.22674367903737594,0.05723905723905724,0.011663641801810622,1.813333333333333,0.14171016489064348,1.0569444444444445,0.25195393832412505,96.99558922558923,0.16134607538556855
full,cifar100,vgg11,4,0.05,3,68.69999999999999,0.13527749258468877,99.93350168350167,0.032957528536115756,0.006734006734006734,0.011663641801810622,0.615,0.07692325721132719,0.7052777777777779,0.04740731698486746,99.22822390572391,0.054545456493949096
full,cifar100,vgg11,8,0.01,3,68.65666666666667,0.020816659994659033,97.99116161616162,0.5168631201299889,0.2895622895622896,0.057436774778558866,3.3877083333333333,0.21700134408185906,2.680654761904762,0.40312516149867567,94.60345328282828,0.5325405543441866
