baseline,dataset,model,kc,poison_rate,n,clean_acc_adaptive_improvement_pp_mean,clean_acc_adaptive_improvement_pp_std,valid_asr_adaptive_improvement_pp_mean,valid_asr_adaptive_improvement_pp_std,wrong_asr_adaptive_improvement_pp_mean,wrong_asr_adaptive_improvement_pp_std,single_leak_adaptive_improvement_pp_mean,single_leak_adaptive_improvement_pp_std,invalid_leak_adaptive_improvement_pp_mean,invalid_leak_adaptive_improvement_pp_std,csg_adaptive_improvement_pp_mean,csg_adaptive_improvement_pp_std
naive_dual,cifar10,vgg11,8,0.01,3,-0.2866666666666647,0.2936551265231637,-1.4865740740740725,0.38582706711707865,-2.1999999999999997,0.852302618256227,45.67854166666666,2.3717189781798265,76.41851190476191,0.9449489163477519,74.93193783068783,0.9498755791202351
naive_dual,cifar10,vgg11,8,0.05,3,-0.21333333333333204,0.3059956426704968,-0.03333333333332966,0.021017702708909788,-0.11111111111111112,0.0675862503366469,48.201249999999995,2.4943272358243207,82.88154761904762,0.156660108054935,82.84821428571429,0.1714044065493399
naive_dual,cifar100,resnet18,4,0.01,3,-1.3866666666666656,0.2510644007686741,-1.0395622895622865,0.19750854378535745,0.023569023569023573,0.04082274630633718,45.68333333333334,0.38859589657294374,89.68555555555554,4.914556138354416,88.17529882154884,5.08772739543926
naive_dual,cifar100,resnet18,4,0.05,3,-1.1066666666666631,0.08082903768654466,-0.04797979797979505,0.018209854926583613,0.003367003367003367,0.00583182090090531,48.856249999999996,1.2050311199301023,95.21083333333333,2.8636002252409396,95.16285353535353,2.845403429585913
naive_dual,cifar100,resnet18,8,0.01,3,-1.3166666666666698,0.3165964834506755,-1.8316498316498322,0.1764487261999528,-0.20538720538720537,0.14718850501275682,46.87375,0.6983163345683632,95.41166666666668,1.7002648947031316,93.2373085016835,1.602860349460196
naive_dual,cifar100,resnet18,8,0.05,3,-1.2599999999999982,0.15874507866388105,-0.10395622895623309,0.008215160478086866,-0.0101010101010101,0.0101010101010101,49.676874999999995,0.39842512235675764,96.8480357142857,1.5016477875341214,96.7440794853295,1.509401541312313
naive_dual,cifar100,vgg11,4,0.01,3,-1.3266666666666649,0.15695009822658218,-0.638047138047145,0.19616406944687048,-0.010101010101010098,0.06060606060606061,51.29833333333334,4.5607808975912585,91.60472222222222,2.6922811906001316,90.6300084175084,2.4016783824776033
naive_dual,cifar100,vgg11,4,0.05,3,-1.2866666666666693,0.3178574103797728,-0.07912457912457131,0.07372411208636365,0.003367003367003367,0.00583182090090531,49.11166666666667,1.394808641295772,95.8225,3.6132733697361488,95.74170875420877,3.5674510336793133
naive_dual,cifar100,vgg11,8,0.01,3,-1.1066666666666596,0.32883633213702673,-1.613636363636358,0.557827939878522,0.0033670033670033517,0.27128938826240656,47.61729166666667,4.0356315981309985,85.26672619047619,6.26047387774237,83.06088744588746,6.034283844250235
naive_dual,cifar100,vgg11,8,0.05,3,-1.8599999999999988,0.3726929030716853,-0.19654882154882167,0.026009283763429945,-0.0101010101010101,0.0101010101010101,48.93833333333333,0.3769788068755802,95.44744047619048,1.4303068291192513,95.25089165464165,1.4047360653237864
naive_dual,gtsrb,resnet18,4,0.01,3,-0.07653734494589652,0.05942639350328795,-0.02476522660227835,0.035995655914039686,-0.019640852974186305,0.02118359830322881,45.4955133280549,2.3245549943067583,91.17181314330958,4.4215101482129855,90.82770244296752,4.398717990913739
naive_dual,gtsrb,resnet18,4,0.05,3,0.1319609395618889,0.14713496822133668,0.0006841817186612845,0.0031862275345417705,0.0,0.0,48.84468197413565,0.7507809195735533,95.52212545086654,0.9315877681390294,95.52149002318959,0.932859671821639
naive_dual,gtsrb,resnet18,8,0.01,3,-0.010556875164950222,0.3670696996719706,-1.0200134100414056,0.10044972903146304,-0.30008251646182676,0.42841203376126963,47.61678543151228,0.1113816240017916,95.43537684274025,0.18774689030980182,94.2010290185426,0.20064014289123622
naive_dual,gtsrb,resnet18,8,0.05,3,0.38532594352072014,0.29298894877546966,0.0003480924533542466,0.0006029138149408546,0.0,0.0,51.649511744523615,5.80668732900885,94.29136975455265,2.9548321985540373,94.291717847006,2.9551404214125117
