====================================================================================================
EXISTING BASELINES VS ADAPTIVE SUMMARY
====================================================================================================
Total rows used: 360

Grouped method counts:
adaptive_feedback_tuned_v2: 72
full: 72
naive_dual: 72
single: 72
wo_invalid: 72

====================================================================================================
GROUPED MEAN ± STD
====================================================================================================
naive_dual                   | gtsrb     | vgg11    | Kc=8 | PR=0.05 | n=3 | clean=96.582±0.347 | valid=99.999±0.001 | wrong=0.000±0.000 | single=49.710±1.212 | invalid=96.130±0.007 | csg=3.869±0.008
single                       | cifar10   | resnet18 | Kc=4 | PR=0.01 | n=3 | clean=93.897±0.050 | valid=100.000±0.000 | wrong=0.000±0.000 | single=89.895±0.017 | invalid=87.741±0.597 | csg=10.105±0.017
single                       | cifar10   | resnet18 | Kc=4 | PR=0.05 | n=3 | clean=94.133±0.306 | valid=100.000±0.000 | wrong=0.000±0.000 | single=90.039±0.056 | invalid=92.916±0.979 | csg=7.084±0.979
single                       | cifar10   | resnet18 | Kc=8 | PR=0.01 | n=3 | clean=94.300±0.095 | valid=100.000±0.000 | wrong=0.000±0.000 | single=89.840±0.034 | invalid=86.637±0.359 | csg=10.160±0.034
single                       | cifar10   | resnet18 | Kc=8 | PR=0.05 | n=3 | clean=94.160±0.197 | valid=100.000±0.000 | wrong=0.000±0.000 | single=89.962±0.008 | invalid=90.206±0.458 | csg=9.753±0.413
single                       | cifar10   | vgg11    | Kc=4 | PR=0.01 | n=3 | clean=90.650±0.295 | valid=99.999±0.002 | wrong=0.004±0.006 | single=89.620±0.094 | invalid=87.584±0.325 | csg=10.379±0.095
single                       | cifar10   | vgg11    | Kc=4 | PR=0.05 | n=3 | clean=91.043±0.108 | valid=100.000±0.000 | wrong=0.000±0.000 | single=89.940±0.067 | invalid=90.334±1.160 | csg=9.390±0.708
single                       | cifar10   | vgg11    | Kc=8 | PR=0.01 | n=3 | clean=90.613±0.162 | valid=99.996±0.004 | wrong=0.015±0.017 | single=89.461±0.038 | invalid=86.720±0.560 | csg=10.536±0.036
single                       | cifar10   | vgg11    | Kc=8 | PR=0.05 | n=3 | clean=90.720±0.070 | valid=100.000±0.000 | wrong=0.000±0.000 | single=89.901±0.037 | invalid=88.876±0.185 | csg=10.099±0.037
single                       | cifar100  | resnet18 | Kc=4 | PR=0.01 | n=3 | clean=76.620±0.157 | valid=99.998±0.001 | wrong=0.003±0.006 | single=98.675±0.093 | invalid=98.419±0.065 | csg=1.324±0.094
single                       | cifar100  | resnet18 | Kc=4 | PR=0.05 | n=3 | clean=76.873±0.067 | valid=100.000±0.000 | wrong=0.000±0.000 | single=99.016±0.003 | invalid=98.969±0.095 | csg=0.963±0.035
single                       | cifar100  | resnet18 | Kc=8 | PR=0.01 | n=3 | clean=76.683±0.332 | valid=99.997±0.000 | wrong=0.000±0.000 | single=98.471±0.084 | invalid=98.418±0.114 | csg=1.480±0.057
single                       | cifar100  | resnet18 | Kc=8 | PR=0.05 | n=3 | clean=76.527±0.258 | valid=100.000±0.000 | wrong=0.000±0.000 | single=98.941±0.013 | invalid=98.811±0.062 | csg=1.059±0.013
single                       | cifar100  | vgg11    | Kc=4 | PR=0.01 | n=3 | clean=68.863±0.187 | valid=99.999±0.001 | wrong=0.000±0.000 | single=98.429±0.080 | invalid=98.778±0.021 | csg=1.221±0.022
single                       | cifar100  | vgg11    | Kc=4 | PR=0.05 | n=3 | clean=69.307±0.333 | valid=100.000±0.000 | wrong=0.000±0.000 | single=98.990±0.042 | invalid=99.026±0.094 | csg=0.971±0.092
single                       | cifar100  | vgg11    | Kc=8 | PR=0.01 | n=3 | clean=68.817±0.240 | valid=99.995±0.001 | wrong=0.013±0.006 | single=97.959±0.243 | invalid=98.539±0.178 | csg=1.455±0.180
single                       | cifar100  | vgg11    | Kc=8 | PR=0.05 | n=3 | clean=68.910±0.287 | valid=100.000±0.000 | wrong=0.000±0.000 | single=98.877±0.028 | invalid=98.888±0.060 | csg=1.097±0.037
single                       | gtsrb     | resnet18 | Kc=4 | PR=0.01 | n=3 | clean=98.446±0.163 | valid=100.000±0.000 | wrong=0.000±0.000 | single=96.069±0.009 | invalid=94.405±0.239 | csg=3.931±0.009
single                       | gtsrb     | resnet18 | Kc=4 | PR=0.05 | n=3 | clean=98.216±0.314 | valid=100.000±0.000 | wrong=0.000±0.000 | single=96.049±0.034 | invalid=94.621±1.265 | csg=3.951±0.034
single                       | gtsrb     | resnet18 | Kc=8 | PR=0.01 | n=3 | clean=98.469±0.096 | valid=100.000±0.000 | wrong=0.000±0.000 | single=96.175±0.003 | invalid=94.697±0.256 | csg=3.825±0.003
single                       | gtsrb     | resnet18 | Kc=8 | PR=0.05 | n=3 | clean=98.530±0.203 | valid=100.000±0.000 | wrong=0.000±0.000 | single=96.174±0.001 | invalid=95.114±0.290 | csg=3.826±0.001
single                       | gtsrb     | vgg11    | Kc=4 | PR=0.01 | n=3 | clean=96.809±0.335 | valid=100.000±0.000 | wrong=0.000±0.000 | single=96.012±0.071 | invalid=94.403±0.374 | csg=3.988±0.071
single                       | gtsrb     | vgg11    | Kc=4 | PR=0.05 | n=3 | clean=96.590±0.305 | valid=100.000±0.000 | wrong=0.000±0.000 | single=96.038±0.051 | invalid=94.970±0.500 | csg=3.962±0.051
single                       | gtsrb     | vgg11    | Kc=8 | PR=0.01 | n=3 | clean=96.775±0.157 | valid=100.000±0.000 | wrong=0.000±0.000 | single=95.766±0.028 | invalid=95.215±0.410 | csg=4.234±0.028
single                       | gtsrb     | vgg11    | Kc=8 | PR=0.05 | n=3 | clean=96.321±0.204 | valid=100.000±0.000 | wrong=0.000±0.000 | single=96.159±0.011 | invalid=95.265±0.276 | csg=3.841±0.011
wo_invalid                   | cifar10   | resnet18 | Kc=4 | PR=0.01 | n=3 | clean=93.983±0.085 | valid=99.747±0.050 | wrong=0.215±0.061 | single=1.996±0.224 | invalid=19.931±3.064 | csg=79.816±3.031
wo_invalid                   | cifar10   | resnet18 | Kc=4 | PR=0.05 | n=3 | clean=94.047±0.065 | valid=99.989±0.007 | wrong=0.011±0.011 | single=1.170±0.067 | invalid=20.841±16.216 | csg=79.148±16.214
wo_invalid                   | cifar10   | resnet18 | Kc=8 | PR=0.01 | n=3 | clean=93.630±0.298 | valid=99.297±0.351 | wrong=1.270±0.652 | single=5.256±0.356 | invalid=28.027±3.373 | csg=71.270±3.036
